#h          ndof      log||e||         ||e||    ndof
-1.07918    1.39794   -0.5851359209755540   0.25993459195647989        24
-1.39794    1.69897   -1.0089431294406470   9.7961825733717298E-002    50
-1.69897    2.00000   -1.1955122297132190   6.3751112849722319E-002    100
-2.00000    2.30103   -1.3125705438190329   4.8688843192255402E-002    200
-2.30103    2.60206   -1.4288681301116843   3.7250479705129298E-002    400
-2.60206    2.90309   -1.5453898476126919   2.8484601784547366E-002    800
