#h          ndof      log||e||    ||e||                     ndof
-1.07918    1.39794   -0.5895042244948898   0.25733317328402139        24
-1.39794    1.69897   -1.0402503893739790   9.1148517758433203E-002    50
-1.69897    2.00000   -1.2139373306022541   6.1103019119124136E-002    100
-2.00000    2.30103   -1.3353872401698641   4.6196892152220580E-002    200
-2.30103    2.60206   -1.4598509209332891   3.4685589428379827E-002    400
-2.60206    2.90309   -1.5846459730448186   2.6022800180860922E-002    800
