#h          ndof      log||e||       ||e||      ndof
-1.39794    1.39794   -0.9729431303243147   0.10642823739686845    25
-1.69897    1.69897   -1.1139582640235532   7.6920435776371851E-002    50
-2.00000    2.00000   -1.2204444852979832   6.0194320277155614E-002    100
-2.30103    2.30103   -1.3271297556321453   4.7083663192614027E-002    200
-2.60206    2.60206   -1.4333090098751315   3.6871515644160247E-002    400
-2.90309    2.90309   -1.4737057446857005   3.3596516963965192E-002    800
