#h          ndof      log||e||    ||e||                     ndof
-1.39794    1.69897   -1.54763   2.8338401968884666E-002    50
-1.69897    2.00000   -2.65307   2.2229506613994348E-003    100
-2.00000    2.30103   -3.28921   5.1379292399739206E-004    200
-2.30103    2.60206   -4.15881   6.9372702927237155E-005    400
-2.60206    2.90309   -5.01374   9.6886247710598700E-006    800
-2.90309    3.20412   -5.87518   1.3329741019316424E-006    1600
