#h          ndof      log||e||        ||e||     ndof
-1.39794    1.39794   -0.77892   1.66371E-01    25
-1.69897    1.69897                             50
-2.00000    2.00000   -1.05299   8.85136E-02    100
-2.30103    2.30103   -1.25457   5.56455E-02    200
-2.60206    2.60206   -1.49329   3.21152E-02    400
-2.90309    2.90309   -1.75850   1.74381E-02    800
