#h          ndof      log||e||       ||e||      ndof
-1.39794    1.39794   -1.03849   9.15187E-02    25
-1.69897    1.69897   -1.44536   3.58600E-02    50
-2.00000    2.00000   -1.96734   1.07810E-02    100
-2.30103    2.30103   -2.50043   3.15915E-03    200
-2.60206    2.60206   -3.00785   9.82087E-04    400
-2.90309    2.90309   -3.52028   3.01801E-04    800
