#h          ndof      log||e||                   ||e||                     ndof
-1.39794    1.69897   -1.3189007618009538        4.7984308236488193E-002   50
-1.69897    2.00000   -1.7340703401036783        1.8447166171635273E-002   100
-2.00000    2.30103   -2.2088801327026917        6.1818699908178466E-003   200
-2.30103    2.60206   -2.7323302483826746        1.8521226873876259E-003   400
-2.60206    2.90309   -3.2704294842782473        5.3650097520027543E-004   800
-2.90309    3.20412   -3.8436806541673540        1.4332414043303040E-004   1600
